mab_uid,mab_name,Protein_RefID,virus_id,virus_name,Family,Organism,Species,Epitope,pubmed_id,Target Protein,Target type,Target,Target name,Assay type,Assay,Quantitative measure,Unit,disease_id,disease_name
376_DV7,DV7,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",80,ng/ml,DOID:12205,DOID:12205
377_DV7,DV7,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",24,ng/ml,DOID:12205,DOID:12205
378_DV7,DV7,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",13,ng/ml,DOID:12205,DOID:12205
379_DV7,DV7,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",23,ng/ml,DOID:12205,DOID:12205
380_DV7,DV7,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",15,ng/ml,DOID:12205,DOID:12205
381_DV7,DV7,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",14,ng/ml,DOID:12205,DOID:12205
382_DV7,DV7,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",9,ng/ml,DOID:12205,DOID:12205
383_DV7,DV7,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",11,ng/ml,DOID:12205,DOID:12205
384_DV7,DV7,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),84,ng/ml,DOID:12205,DOID:12205
385_DV7,DV7,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),75,ng/ml,DOID:12205,DOID:12205
386_DV7,DV7,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),130,ng/ml,DOID:12205,DOID:12205
387_DV7,DV7,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),31,ng/ml,DOID:12205,DOID:12205
388_DV8,DV8,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",186,ng/ml,Z-TBD,Z-TBD
389_DV8,DV8,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",263,ng/ml,DOID:12205,DOID:12205
390_DV8,DV8,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",102,ng/ml,DOID:12205,DOID:12205
391_DV8,DV8,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",92,ng/ml,DOID:12205,DOID:12205
392_DV8,DV8,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",111,ng/ml,DOID:12205,DOID:12205
393_DV8,DV8,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",65,ng/ml,DOID:12205,DOID:12205
394_DV8,DV8,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",71,ng/ml,DOID:12205,DOID:12205
395_DV8,DV8,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",59,ng/ml,DOID:12205,DOID:12205
396_DV8,DV8,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",58,ng/ml,DOID:12205,DOID:12205
397_DV8,DV8,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),103,ng/ml,DOID:12205,DOID:12205
398_DV8,DV8,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),22,ng/ml,DOID:12205,DOID:12205
399_DV8,DV8,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),31,ng/ml,DOID:12205,DOID:12205
400_DV8,DV8,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),24,ng/ml,DOID:12205,DOID:12205
401_DV15,DV15,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",159,ng/ml,Z-TBD,Z-TBD
402_DV15,DV15,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",305,ng/ml,DOID:12205,DOID:12205
403_DV15,DV15,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",29,ng/ml,DOID:12205,DOID:12205
404_DV15,DV15,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",22,ng/ml,DOID:12205,DOID:12205
405_DV15,DV15,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",36,ng/ml,DOID:12205,DOID:12205
406_DV15,DV15,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",34,ng/ml,DOID:12205,DOID:12205
407_DV15,DV15,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",11,ng/ml,DOID:12205,DOID:12205
408_DV15,DV15,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",14,ng/ml,DOID:12205,DOID:12205
409_DV15,DV15,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",17,ng/ml,DOID:12205,DOID:12205
410_DV15,DV15,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),123,ng/ml,DOID:12205,DOID:12205
411_DV15,DV15,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),55,ng/ml,DOID:12205,DOID:12205
412_DV15,DV15,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),173,ng/ml,DOID:12205,DOID:12205
413_DV15,DV15,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),70,ng/ml,DOID:12205,DOID:12205
414_DV16,DV16,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",420,ng/ml,Z-TBD,Z-TBD
415_DV16,DV16,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",148,ng/ml,DOID:12205,DOID:12205
416_DV16,DV16,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",34,ng/ml,DOID:12205,DOID:12205
417_DV16,DV16,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",17,ng/ml,DOID:12205,DOID:12205
418_DV16,DV16,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",22,ng/ml,DOID:12205,DOID:12205
419_DV16,DV16,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",16,ng/ml,DOID:12205,DOID:12205
420_DV16,DV16,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",11,ng/ml,DOID:12205,DOID:12205
421_DV16,DV16,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",8,ng/ml,DOID:12205,DOID:12205
422_DV16,DV16,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",20,ng/ml,DOID:12205,DOID:12205
423_DV16,DV16,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),248,ng/ml,DOID:12205,DOID:12205
424_DV16,DV16,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),89,ng/ml,DOID:12205,DOID:12205
425_DV16,DV16,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),219,ng/ml,DOID:12205,DOID:12205
426_DV16,DV16,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),101,ng/ml,DOID:12205,DOID:12205
427_DVA378,DVA378,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",40,ng/ml,Z-TBD,Z-TBD
428_DVA378,DVA378,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",38,ng/ml,DOID:12205,DOID:12205
429_DVA378,DVA378,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",14,ng/ml,DOID:12205,DOID:12205
430_DVA378,DVA378,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",5,ng/ml,DOID:12205,DOID:12205
431_DVA378,DVA378,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",7,ng/ml,DOID:12205,DOID:12205
432_DVA378,DVA378,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",7,ng/ml,DOID:12205,DOID:12205
433_DVA378,DVA378,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",6,ng/ml,DOID:12205,DOID:12205
434_DVA378,DVA378,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",3,ng/ml,DOID:12205,DOID:12205
435_DVA378,DVA378,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",11,ng/ml,DOID:12205,DOID:12205
436_DVA378,DVA378,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),149,ng/ml,DOID:12205,DOID:12205
437_DVA378,DVA378,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),72,ng/ml,DOID:12205,DOID:12205
438_DVA378,DVA378,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),251,ng/ml,DOID:12205,DOID:12205
439_DVA378,DVA378,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),498,ng/ml,DOID:12205,DOID:12205
440_DVC23,DVC23,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",234,ng/ml,Z-TBD,Z-TBD
441_DVC23,DVC23,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",234,ng/ml,DOID:12205,DOID:12205
442_DVC23,DVC23,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",87,ng/ml,DOID:12205,DOID:12205
443_DVC23,DVC23,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",54,ng/ml,DOID:12205,DOID:12205
444_DVC23,DVC23,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",85,ng/ml,DOID:12205,DOID:12205
445_DVC23,DVC23,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",45,ng/ml,DOID:12205,DOID:12205
446_DVC23,DVC23,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",43,ng/ml,DOID:12205,DOID:12205
447_DVC23,DVC23,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",31,ng/ml,DOID:12205,DOID:12205
448_DVC23,DVC23,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",39,ng/ml,DOID:12205,DOID:12205
449_DVC23,DVC23,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
450_DVC23,DVC23,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),14,ng/ml,DOID:12205,DOID:12205
451_DVC23,DVC23,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
452_DVC23,DVC23,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
453_DVF108,DVF108,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",80,ng/ml,Z-TBD,Z-TBD
454_DVF108,DVF108,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",89,ng/ml,DOID:12205,DOID:12205
455_DVF108,DVF108,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",37,ng/ml,DOID:12205,DOID:12205
456_DVF108,DVF108,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",24,ng/ml,DOID:12205,DOID:12205
457_DVF108,DVF108,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",17,ng/ml,DOID:12205,DOID:12205
458_DVF108,DVF108,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",11,ng/ml,DOID:12205,DOID:12205
459_DVF108,DVF108,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",5,ng/ml,DOID:12205,DOID:12205
460_DVF108,DVF108,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",10,ng/ml,DOID:12205,DOID:12205
461_DVF108,DVF108,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",8,ng/ml,DOID:12205,DOID:12205
462_DVF108,DVF108,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
463_DVF108,DVF108,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
464_DVF108,DVF108,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
465_DVF108,DVF108,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
466_DVD15,DVD15,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",338,ng/ml,Z-TBD,Z-TBD
467_DVD15,DVD15,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",394,ng/ml,DOID:12205,DOID:12205
468_DVD15,DVD15,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",125,ng/ml,DOID:12205,DOID:12205
469_DVD15,DVD15,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",29,ng/ml,DOID:12205,DOID:12205
470_DVD15,DVD15,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",75,ng/ml,DOID:12205,DOID:12205
471_DVD15,DVD15,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",13,ng/ml,DOID:12205,DOID:12205
472_DVD15,DVD15,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",18,ng/ml,DOID:12205,DOID:12205
473_DVD15,DVD15,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",9,ng/ml,DOID:12205,DOID:12205
474_DVD15,DVD15,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",11,ng/ml,DOID:12205,DOID:12205
475_DVD15,DVD15,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),209,ng/ml,DOID:12205,DOID:12205
476_DVD15,DVD15,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),66,ng/ml,DOID:12205,DOID:12205
477_DVD15,DVD15,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),262,ng/ml,DOID:12205,DOID:12205
478_DVD15,DVD15,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),183,ng/ml,DOID:12205,DOID:12205
479_DV38,DV38,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",157,ng/ml,Z-TBD,Z-TBD
480_DV38,DV38,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",69,ng/ml,DOID:12205,DOID:12205
481_DV38,DV38,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",40,ng/ml,DOID:12205,DOID:12205
482_DV38,DV38,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",23,ng/ml,DOID:12205,DOID:12205
483_DV38,DV38,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",22,ng/ml,DOID:12205,DOID:12205
484_DV38,DV38,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",40,ng/ml,DOID:12205,DOID:12205
485_DV38,DV38,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",10,ng/ml,DOID:12205,DOID:12205
486_DV38,DV38,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",16,ng/ml,DOID:12205,DOID:12205
487_DV38,DV38,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",113,ng/ml,DOID:12205,DOID:12205
488_DV38,DV38,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),209,ng/ml,DOID:12205,DOID:12205
489_DV38,DV38,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),66,ng/ml,DOID:12205,DOID:12205
490_DV38,DV38,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),262,ng/ml,DOID:12205,DOID:12205
491_DV38,DV38,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),183,ng/ml,DOID:12205,DOID:12205
492_DV1,DV1,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",157,ng/ml,Z-TBD,Z-TBD
493_DV1,DV1,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",69,ng/ml,DOID:12205,DOID:12205
494_DV1,DV1,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",40,ng/ml,DOID:12205,DOID:12205
495_DV1,DV1,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",23,ng/ml,DOID:12205,DOID:12205
496_DV1,DV1,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",22,ng/ml,DOID:12205,DOID:12205
497_DV1,DV1,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",40,ng/ml,DOID:12205,DOID:12205
498_DV1,DV1,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",10,ng/ml,DOID:12205,DOID:12205
499_DV1,DV1,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",16,ng/ml,DOID:12205,DOID:12205
500_DV1,DV1,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",113,ng/ml,DOID:12205,DOID:12205
501_DV1,DV1,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
502_DV1,DV1,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
503_DV1,DV1,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
504_DV1,DV1,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),82,ng/ml,DOID:12205,DOID:12205
505_DVD19,DVD19,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",157,ng/ml,Z-TBD,Z-TBD
506_DVD19,DVD19,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",69,ng/ml,DOID:12205,DOID:12205
507_DVD19,DVD19,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",40,ng/ml,DOID:12205,DOID:12205
508_DVD19,DVD19,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",23,ng/ml,DOID:12205,DOID:12205
509_DVD19,DVD19,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",22,ng/ml,DOID:12205,DOID:12205
510_DVD19,DVD19,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",40,ng/ml,DOID:12205,DOID:12205
511_DVD19,DVD19,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",10,ng/ml,DOID:12205,DOID:12205
512_DVD19,DVD19,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",16,ng/ml,DOID:12205,DOID:12205
513_DVD19,DVD19,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",113,ng/ml,DOID:12205,DOID:12205
514_DVD19,DVD19,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
515_DVD19,DVD19,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
516_DVD19,DVD19,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),,ng/ml,DOID:12205,DOID:12205
517_DVD19,DVD19,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),82,ng/ml,DOID:12205,DOID:12205
518_DV18,DV18,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",1981,ng/ml,Z-TBD,Z-TBD
519_DV18,DV18,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",689,ng/ml,DOID:12205,DOID:12205
520_DV18,DV18,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",467,ng/ml,DOID:12205,DOID:12205
521_DV18,DV18,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",227,ng/ml,DOID:12205,DOID:12205
522_DV18,DV18,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",408,ng/ml,DOID:12205,DOID:12205
523_DV18,DV18,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",432,ng/ml,DOID:12205,DOID:12205
524_DV18,DV18,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",140,ng/ml,DOID:12205,DOID:12205
525_DV18,DV18,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",335,ng/ml,DOID:12205,DOID:12205
526_DV18,DV18,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",215,ng/ml,DOID:12205,DOID:12205
527_DV18,DV18,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),670,ng/ml,DOID:12205,DOID:12205
528_DV18,DV18,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),241,ng/ml,DOID:12205,DOID:12205
529_DV18,DV18,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),799,ng/ml,DOID:12205,DOID:12205
530_DV18,DV18,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),699,ng/ml,DOID:12205,DOID:12205
531_DV19,DV19,,64320,ZIKV,,,,,27417494,,Protein,ZIKV E,,Binding,"ELISA (EC50, ng/ml)",1321,ng/ml,Z-TBD,Z-TBD
532_DV19,DV19,,11053,DENV1,,,,,27417494,,Protein,DENV1 E,,Binding,"ELISA (EC50, ng/ml)",729,ng/ml,DOID:12205,DOID:12205
533_DV19,DV19,,11060,DENV2,,,,,27417494,,Protein,DENV2 E,,Binding,"ELISA (EC50, ng/ml)",347,ng/ml,DOID:12205,DOID:12205
534_DV19,DV19,,11069,DENV3,,,,,27417494,,Protein,DENV3 E,,Binding,"ELISA (EC50, ng/ml)",51,ng/ml,DOID:12205,DOID:12205
535_DV19,DV19,,11070,DENV4,,,,,27417494,,Protein,DENV4 E,,Binding,"ELISA (EC50, ng/ml)",140,ng/ml,DOID:12205,DOID:12205
536_DV19,DV19,,11053,DENV1,,,,,27417494,,Protein,DENV1 VLP,,Binding,"ELISA (EC50, ng/ml)",13,ng/ml,DOID:12205,DOID:12205
537_DV19,DV19,,11060,DENV2,,,,,27417494,,Protein,DENV2 VLP,,Binding,"ELISA (EC50, ng/ml)",13,ng/ml,DOID:12205,DOID:12205
538_DV19,DV19,,11069,DENV3,,,,,27417494,,Protein,DENV3 VLP,,Binding,"ELISA (EC50, ng/ml)",10,ng/ml,DOID:12205,DOID:12205
539_DV19,DV19,,11070,DENV4,,,,,27417494,,Protein,DENV4 VLP,,Binding,"ELISA (EC50, ng/ml)",9,ng/ml,DOID:12205,DOID:12205
540_DV19,DV19,,11053,DENV1,,,,,27417494,,,DENV1 neut,,Neutralization,IC50 (ng/ml),631,ng/ml,DOID:12205,DOID:12205
541_DV19,DV19,,11060,DENV2,,,,,27417494,,,DENV2 neut,,Neutralization,IC50 (ng/ml),189,ng/ml,DOID:12205,DOID:12205
542_DV19,DV19,,11069,DENV3,,,,,27417494,,,DENV3 neut,,Neutralization,IC50 (ng/ml),368,ng/ml,DOID:12205,DOID:12205
543_DV19,DV19,,11070,DENV4,,,,,27417494,,,DENV4 neut,,Neutralization,IC50 (ng/ml),114,ng/ml,DOID:12205,DOID:12205
